14.0176 	EXP 	fixation: autoDraw = False
14.0176 	EXP 	image: autoDraw = False
14.0176 	EXP 	image: image = 'Col4.JPG'
14.0176 	EXP 	fixation: autoDraw = True
14.4914 	EXP 	image: autoDraw = True
14.5163 	EXP 	fixation: autoDraw = False
15.9842 	EXP 	New trial (rep=0, index=8): {'pic': 'Bnw5.JPG', 'correct_response': 'b', 'shown_before': 1}
16.0044 	EXP 	image: autoDraw = False
16.0044 	EXP 	fixation: autoDraw = False
16.0044 	EXP 	image: autoDraw = False
16.0044 	EXP 	image: image = 'Bnw5.JPG'
16.0044 	EXP 	fixation: autoDraw = True
16.4920 	EXP 	image: autoDraw = True
16.4988 	EXP 	fixation: autoDraw = False
17.9841 	EXP 	New trial (rep=0, index=9): {'pic': 'Bnw1.jpeg', 'correct_response': 'b', 'shown_before': 1}
18.0026 	EXP 	image: autoDraw = False
18.0026 	EXP 	fixation: autoDraw = False
18.0026 	EXP 	image: autoDraw = False
18.0026 	EXP 	image: image = 'Bnw1.jpeg'
18.0026 	EXP 	fixation: autoDraw = True
18.4925 	EXP 	image: autoDraw = True
18.4994 	EXP 	fixation: autoDraw = False
19.9843 	EXP 	New trial (rep=0, index=10): {'pic': 'Bnw6.JPG', 'correct_response': 'b', 'shown_before': 1}
20.0150 	EXP 	image: autoDraw = False
20.0150 	EXP 	fixation: autoDraw = False
20.0150 	EXP 	image: autoDraw = False
20.0150 	EXP 	image: image = 'Bnw6.JPG'
20.0150 	EXP 	fixation: autoDraw = True
20.4925 	EXP 	image: autoDraw = True
20.5074 	EXP 	fixation: autoDraw = False
21.9846 	EXP 	New trial (rep=0, index=11): {'pic': 'Col2.JPG', 'correct_response': 'c', 'shown_before': 1}
22.0067 	EXP 	image: autoDraw = False
22.0067 	EXP 	fixation: autoDraw = False
22.0067 	EXP 	image: autoDraw = False
22.0067 	EXP 	image: image = 'Col2.JPG'
22.0067 	EXP 	fixation: autoDraw = True
22.4921 	EXP 	image: autoDraw = True
22.4990 	EXP 	fixation: autoDraw = False
23.9983 	EXP 	image: autoDraw = False
23.9983 	EXP 	fixation: autoDraw = False
23.9983 	EXP 	image: autoDraw = False
23.9983 	EXP 	text_norm: autoDraw = True
25.7617 	DATA 	Keypress: space
25.7721 	EXP 	text_norm: autoDraw = False
25.7721 	EXP 	text_countdown: autoDraw = True
35.7418 	EXP 	text_countdown: autoDraw = False
35.7418 	EXP 	text: autoDraw = True
38.2507 	EXP 	Imported color_images.xlsx as conditions, 24 conditions, 3 params
38.2518 	EXP 	Created sequence: random, trialTypes=24, nReps=1, seed=None
38.2520 	EXP 	New trial (rep=0, index=0): {'pic': 'Col10.JPG', 'correct_response': 'c', 'shown_before': 0}
38.2667 	DATA 	Keypress: space
38.2732 	EXP 	text: autoDraw = False
38.2732 	EXP 	img: image = 'Col10.JPG'
38.2732 	EXP 	img: autoDraw = True
40.2430 	EXP 	New trial (rep=0, index=1): {'pic': 'Col3.JPG', 'correct_response': 'c', 'shown_before': 1}
40.2599 	DATA 	Keypress: n
40.2665 	EXP 	img: autoDraw = False
40.2665 	EXP 	img: image = 'Col3.JPG'
40.2665 	EXP 	img: autoDraw = True
41.1773 	EXP 	New trial (rep=0, index=2): {'pic': 'Bnw10.JPG', 'correct_response': 'b', 'shown_before': 0}
