30.5061 	EXP 	fixation: autoDraw = False
31.9833 	EXP 	New trial (rep=0, index=16): {'pic': 'Bnw4.JPG', 'correct_response': 'b', 'shown_before': 1}
32.0256 	EXP 	image: autoDraw = False
32.0256 	EXP 	fixation: autoDraw = False
32.0256 	EXP 	image: autoDraw = False
32.0256 	EXP 	image: image = 'Bnw4.JPG'
32.0256 	EXP 	fixation: autoDraw = True
32.4981 	EXP 	image: autoDraw = True
32.5253 	EXP 	fixation: autoDraw = False
33.9834 	EXP 	New trial (rep=0, index=17): {'pic': 'Bnw1.jpeg', 'correct_response': 'b', 'shown_before': 1}
34.0022 	EXP 	image: autoDraw = False
34.0022 	EXP 	fixation: autoDraw = False
34.0022 	EXP 	image: autoDraw = False
34.0022 	EXP 	image: image = 'Bnw1.jpeg'
34.0157 	EXP 	fixation: autoDraw = True
34.4982 	EXP 	image: autoDraw = True
34.5056 	EXP 	fixation: autoDraw = False
35.9834 	EXP 	New trial (rep=0, index=18): {'pic': 'Bnw5.JPG', 'correct_response': 'b', 'shown_before': 1}
36.0017 	EXP 	image: autoDraw = False
36.0017 	EXP 	fixation: autoDraw = False
36.0017 	EXP 	image: autoDraw = False
36.0017 	EXP 	image: image = 'Bnw5.JPG'
36.0156 	EXP 	fixation: autoDraw = True
36.4981 	EXP 	image: autoDraw = True
36.5052 	EXP 	fixation: autoDraw = False
37.9832 	EXP 	New trial (rep=0, index=19): {'pic': None, 'correct_response': None, 'shown_before': None}
37.9888 	EXP 	image: autoDraw = False
37.9888 	EXP 	fixation: autoDraw = False
37.9888 	EXP 	image: autoDraw = False
37.9888 	EXP 	image: image = None
37.9983 	EXP 	fixation: autoDraw = True
38.4876 	EXP 	fixation: autoDraw = False
38.5014 	EXP 	image: autoDraw = True
39.9910 	EXP 	New trial (rep=0, index=20): {'pic': None, 'correct_response': None, 'shown_before': None}
40.0016 	EXP 	image: autoDraw = False
40.0016 	EXP 	fixation: autoDraw = False
40.0016 	EXP 	image: autoDraw = False
40.0016 	EXP 	image: image = None
40.0016 	EXP 	fixation: autoDraw = True
40.4992 	EXP 	fixation: autoDraw = False
40.4992 	EXP 	image: autoDraw = True
41.9841 	EXP 	New trial (rep=0, index=21): {'pic': None, 'correct_response': None, 'shown_before': None}
41.9928 	EXP 	image: autoDraw = False
41.9928 	EXP 	fixation: autoDraw = False
41.9928 	EXP 	image: autoDraw = False
41.9928 	EXP 	image: image = None
41.9928 	EXP 	fixation: autoDraw = True
42.4868 	EXP 	fixation: autoDraw = False
